video_url,title,user_url,username,view_num,view_num_raw,created_at,created_at_raw,shortdesc,collected_at
https://www.youtube.com/watch?v=D4Tz7DYucIU&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"US Freezes Immigrant Visa Processing For 75 Countries Including Pakistan, Iran, Russia | N18G",https://www.youtube.com/@cnnnews18,CNN-News18,11000,11K views,2026-01-15 05:32:06.651224+00:00,4 months ago,"The United States has announced that it will suspend immigrant visa processing for citizens of 75 countries beginning January 21,...",2026-05-15 05:32:06.651224+00:00
https://www.youtube.com/shorts/kXrbDUPLM9A,?á∫?á∏ How to answer tourist visa inspection questions at a United States passport control ??,https://www.youtube.com/@OdunlamiLawFirmLLC,Odunlami Law Firm LLC,13000000,13M views,2025-05-15 05:32:06.652284+00:00,1 year ago,How to answer tourist visa inspection questions at a United States passport control Contact us to help with your case today:...,2026-05-15 05:32:06.652284+00:00
https://www.youtube.com/watch?v=8hTVLxQW4FA&pp=ygUNVVMgSW1taWdyYW50c9IHCQkECwGHKiGM7w%3D%3D,Trump's ICE crackdown is 'complete violation' of immigrants and U.S. citizens rights: NYT columnist,https://www.youtube.com/@msnow,MS NOW,125000,125K views,2026-02-14 05:32:06.653214+00:00,3 months ago,A defense official says the Pentagon has two Army battalions on standby for possible deployment to Minnesota amid an...,2026-05-15 05:32:06.653214+00:00
https://www.youtube.com/watch?v=Ccwk8qvp14U&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,What's Really Happening With Immigration In The US?,https://www.youtube.com/@LeejaMiller,Leeja Miller,318000,318K views,2025-05-15 05:32:06.654774+00:00,1 year ago,Thanks to Lumen for sponsoring. Go to http://lumen.me/leeja to get 20% off your Lumen. | Chaos is the point. The shock and awe...,2026-05-15 05:32:06.654774+00:00
https://www.youtube.com/watch?v=0pV9-xYwjis&pp=ygUNVVMgSW1taWdyYW50c9IHCQkECwGHKiGM7w%3D%3D,How Trump?ôs Deportation Campaign Is Reshaping Small Town America,https://www.youtube.com/@business,Bloomberg Originals,405000,405K views,2025-12-16 05:32:06.656421+00:00,5 months ago,"Like many of the other men on his flight from Miami to Albuquerque, Jose Ventura Rubio never expected to find himself in an ICE...",2026-05-15 05:32:06.656421+00:00
https://www.youtube.com/watch?v=PNSw8VUqVrA&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Trump Orders Immigration Crackdown After DC Shooting | Vantage with Palki Sharma | N18G,https://www.youtube.com/@Firstpost,Firstpost,302000,302K views,2025-12-16 05:32:06.657460+00:00,5 months ago,USA | DC Shooting | White House Shooting | Trump On Shooting | Trump Immigration | US Immigration | White House Shooting...,2026-05-15 05:32:06.657460+00:00
https://www.youtube.com/shorts/v0cE-bbIebQ,5 Things I Wish I Knew Before Marrying a US Citizen #immigration #marriagegreencard,https://www.youtube.com/@SanDiegoImmigrationlawyer,U.S Immigration with Attorney Jacob  Sapochnick,11000,11K views,2026-02-14 05:32:06.658510+00:00,3 months ago,"Are you considering marrying a US citizen and wondering what to expect from the immigration process? In this video, we'll be...",2026-05-15 05:32:06.658510+00:00
https://www.youtube.com/shorts/RGmhacoVRD8,ICE Detained a U.S. Citizen! This Is Extremely Serious,https://www.youtube.com/@ImmigrationStation4U,Immigration Station,238000,238K views,2026-01-15 05:32:06.659704+00:00,4 months ago,"This is deeply troubling, a woman in Louisiana with clear proof of U.S. citizenship was taken by ICE despite the fact that ICE has...",2026-05-15 05:32:06.659704+00:00
https://www.youtube.com/watch?v=8tw4qWz6qgg&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"Latest US Immigration Updates Before 2026: Work Permits, Green Cards & Deportation Changes",https://www.youtube.com/@GlobalImmigrationUpdates,Global Immigration Updates,15000,15K views,2026-01-15 05:32:06.660724+00:00,4 months ago,"IMPORTANT IMMIGRATION UPDATES BEFORE 2026: What's Really Changing for Work Permits, Green Cards & Deportation...",2026-05-15 05:32:06.660724+00:00
https://www.youtube.com/shorts/BF6580rIVrE,The Real Cost of Immigration Delays for Businesses! #usa #business #immigration,https://www.youtube.com/@directusimmigration,Direct U.S. Immigration,112,112 views,2026-05-14 19:32:06.662267+00:00,10 hours ago,Immigration delays don't just create paperwork problems. They create business problems. They can lead to: ?îÔ∏è Lost contracts...,2026-05-15 05:32:06.662267+00:00
